document_idx,topic,probability,date,macro_theme
95,1,0.6766378263608648,2021-11-17 01:00:00,Security and Fraud
96,-1,0.0,2021-11-17 08:48:00,Technology and Innovation
97,0,0.3521490340340608,2021-11-17 09:30:00,Market and Financial Services
98,0,0.967617698978781,2021-11-17 10:28:00,NFTs and Digital Collectibles
99,0,0.3870626021530079,2021-11-17 11:12:00,Technology and Innovation
100,0,0.4837955682710548,2021-11-17 12:15:00,Security and Fraud
101,0,0.3940906852257038,2021-11-17 12:59:00,NFTs and Digital Collectibles
102,0,0.4852903914133032,2021-11-17 13:55:00,Technology and Innovation
103,0,1.0,2021-11-17 16:32:00,Technology and Innovation
104,-1,0.0,2021-11-17 19:27:00,NFTs and Digital Collectibles
105,0,1.0,2021-11-17 21:00:00,NFTs and Digital Collectibles
106,0,1.0,2021-11-18 04:40:00,Market and Financial Services
107,0,1.0,2021-11-18 09:20:00,Governance and Organizations
108,0,1.0,2021-11-18 10:25:00,NFTs and Digital Collectibles
109,-1,0.0,2021-11-18 11:35:00,Legal and Regulatory Affairs
110,0,0.8314947224656275,2021-11-18 12:06:00,Technology and Innovation
111,-1,0.0,2021-11-18 12:50:00,Market and Financial Services
112,1,1.0,2021-11-18 13:48:00,NFTs and Digital Collectibles
113,-1,0.0,2021-11-18 14:59:00,NFTs and Digital Collectibles
114,-1,0.0,2021-11-18 15:29:00,NFTs and Digital Collectibles
115,0,1.0,2021-11-18 16:41:00,Technology and Innovation
116,0,0.8482412721899434,2021-11-18 19:00:00,NFTs and Digital Collectibles
117,0,0.980216521316459,2021-11-19 00:00:00,Technology and Innovation
118,-1,0.0,2021-11-19 09:03:00,Technology and Innovation
119,0,0.8408245949514113,2021-11-19 11:06:00,Market and Financial Services
120,-1,0.0,2021-11-19 11:41:00,Market and Financial Services
121,0,1.0,2021-11-19 12:07:00,Market and Financial Services
122,-1,0.0,2021-11-19 13:00:00,NFTs and Digital Collectibles
123,0,1.0,2021-11-19 14:00:00,NFTs and Digital Collectibles
124,0,0.8188073420370366,2021-11-19 15:00:00,Technology and Innovation
125,-1,0.0,2021-11-19 16:30:00,NFTs and Digital Collectibles
126,0,1.0,2021-11-19 19:00:00,Technology and Innovation
127,0,0.5806160907208715,2021-11-20 02:00:00,NFTs and Digital Collectibles
128,0,0.5518412446997079,2021-11-22 09:00:00,NFTs and Digital Collectibles
129,0,1.0,2021-11-22 09:43:00,Technology and Innovation
130,0,0.6959142509362833,2021-11-22 12:14:00,Market and Financial Services
131,0,1.0,2021-11-22 13:16:00,Market and Financial Services
132,0,1.0,2021-11-22 14:21:00,Market and Financial Services
133,0,0.7443881468319776,2021-11-22 14:31:00,Legal and Regulatory Affairs
134,0,1.0,2021-11-22 14:57:00,Technology and Innovation
135,0,1.0,2021-11-22 16:23:00,Technology and Innovation
136,-1,0.0,2021-11-22 21:00:00,NFTs and Digital Collectibles
137,0,1.0,2021-11-23 08:44:00,Technology and Innovation
138,1,0.5023374929789066,2021-11-23 10:11:00,Legal and Regulatory Affairs
139,0,1.0,2021-11-23 10:55:00,Legal and Regulatory Affairs
140,0,1.0,2021-11-23 12:17:00,Market and Financial Services
141,0,1.0,2021-11-23 12:45:00,Market and Financial Services
142,-1,0.0,2021-11-23 14:10:00,NFTs and Digital Collectibles
143,0,0.9636155034790184,2021-11-23 15:07:00,Technology and Innovation
144,0,1.0,2021-11-23 16:27:00,Technology and Innovation
145,0,0.8427217421128889,2021-11-23 21:00:00,Legal and Regulatory Affairs
146,0,0.4918267486622674,2021-11-24 04:44:00,Market and Financial Services
147,-1,0.0,2021-11-24 09:43:00,Legal and Regulatory Affairs
